# x rho1 x rho2
0.49373	1.122	1.51379	1.66945
0.60115	1.11323	1.62091	1.59568
0.89268	1.08623	1.90794	1.41549
1.1996	1.06262	2.22353	1.26269
1.50655	1.04103	2.5239	1.16363
1.80335	1.02888	2.82363	1.11094
2.11035	1.01201	3.13804	1.04245
2.41227	0.99987	3.41829	1.00346
2.70405	0.99649	3.71785	0.96341
3.00095	0.99379	4.03149	0.95077
3.30807	0.98974	4.33038	0.95814
3.60506	0.99582	4.6292	0.97079
3.90714	0.99852	4.91823	0.99397
4.20923	1.00324	5.22199	0.99819
4.51129	1.00391	5.52578	1.0003
4.81334	1.00459	5.81997	0.99924
5.10514	1.00324	6.10935	0.99713
5.40716	1.00054	6.41306	1.00556
5.70407	0.99852	6.70735	0.99713
6.01121	0.99649	7.00623	1.00556
-1	-1	7.31005	1.00556
-1	-1	7.59954	0.99503
-1	-1	7.90339	0.99292
